name,addr,phone,link,region,x,y,NAVER_addr
HC힐링안마원,부산광역시 동구 범일동 901 동성빌딩 2층,204-7575,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.0589673,35.140048,부산광역시 동구 범일로 113
가구거리 햇님안마원,"부산광역시 동구 중앙대로 460번길 32, 1층 (좌천동)",632-6544,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.0562845,35.1351222,부산광역시 동구 중앙대로460번길 32
가나약손119안마원,부산광역시 해운대구 중동1로 38 (중동),731-7578,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.1631548,35.1621831,부산광역시 해운대구 중동1로 38
가람안마원,부산광역시 해운대구 해운대로469번길 138 (우동),747-1771,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.1415662,35.1684621,부산광역시 해운대구 해운대로469번길 138
가야안마지압원,부산광역시 부산진구 가야대로 510번길 84 (가야동),991-4638,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.0283136,35.1492892,부산광역시 부산진구 가야대로510번길 84
가온안마지압원,"부산광역시 수영구 수영로 691-10, 2층 (수영동)",759-7577,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.1154415,35.1682284,부산광역시 수영구 수영로 691-10
가자장수힐링안마원,부산광역시 동구 조방로 39-11 (범일동),635-7575,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.0610574,35.1393896,부산광역시 동구 조방로 39-11
가장좋은날안마지압원,부산광역시 사하구 승학로71번길 30 당리푸르지오 상가 110동 303호 (당리동),205-7577,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,128.9770189,35.1047274,부산광역시 사하구 승학로71번길 30 당리푸르지오
강남힐링지압안마원,"부산광역시 부산진구 전포대로300번길20, 궁전스카이오피스텔 3층 301호 (전포동)",805-2816,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.0662399,35.1645664,부산광역시 부산진구 전포대로300번길 20
강동근안마원,부산광역시 사하구 낙동대로 352 (당리동),529-7070,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,128.9790964,35.1013522,부산광역시 사하구 낙동대로 352
건강사랑지압안마원,부산광역시 동구 중앙대로 181 (초량동),204-3312,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.0386074,35.1136094,부산광역시 동구 중앙대로 181
건강안마지압원,"부산광역시 부산진구 가야대로 761, 3층 (부전동)",711-6722,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.0548714,35.1578968,부산광역시 부산진구 가야대로 761
경주지압안마원,"부산광역시 동래구 석사로 34번길 22, 2층 (사직동)",010-3099-6662,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.0637308,35.198846,부산광역시 동래구 석사로34번길 22
광안건강안마원,부산광역시 수영구 광안로7번길 8 (광안동),728-1844,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.1140393,35.1573958,부산광역시 수영구 광안로7번길 8
그린안마원,부산광역시 북구 백양대로 1022-1 (구포동),343-7579,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,128.9952531,35.1969171,부산광역시 북구 백양대로 1022-1
금봉안마원,부산광역시 부산진구 범일로 160 (범천동) 5층,636-3836,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.0595916,35.1443168,부산광역시 부산진구 범일로 160 중앙빌딩
금정안마지압원,부산광역시 금정구 구서중앙로15번길 9 (구서동),582-9896,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.0895968,35.2544264,부산광역시 금정구 구서중앙로15번길 9
기장지압안마원,부산광역시 기장군 기장읍 대청로22번길 19,723-3631,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.2125811,35.2369237,부산광역시 기장군 기장읍 대청로22번길 19
김성심건강안마원,"부산광역시 남구 수영로 282, 310호 (대연동, 현대오피스텔)",918-7575,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.0974388,35.1358271,부산광역시 남구 수영로 282 현대오피스텔
김현희안마원,부산광역시 사상구 가야대로 330 (주례동),805-7575,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.0085799,35.15068,부산광역시 사상구 가야대로 330 삼선빌딩
노벨안마원,"부산광역시 부산진구 새싹로 30, 경동파크타워 1층 (부전동)",803-5599,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.0573287,35.1606013,부산광역시 부산진구 새싹로 30 경동파크타워
뉴그린안마원,"부산광역시 중구 중앙대로 129, 5층 503호 (대창동1가, 삼성빌딩)",466-8575,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.0368231,35.1092487,부산광역시 중구 중앙대로 129
늘푸른세상안마원,부산광역시 부산진구 서전로58번길 80 (전포동),816-9766,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.0660068,35.1541984,부산광역시 부산진구 서전로58번길 80
다손안마원,"부산광역시 사상구 사상로 512 2층 a동 204호 (모라동, 모라리버빌)",304-9801,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,128.9893371,35.1900365,부산광역시 사상구 사상로 512 모라리버빌
다원약손안마원,부산광역시 해운대구 윗반송로51번길 37-29 (반송동),542-8397,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.1546607,35.2302248,부산광역시 해운대구 윗반송로51번길 37-29
대동안마지압원,부산광역시 서구 구덕로 284 (동대신동1가),245-6123,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.0185183,35.1094028,부산광역시 서구 구덕로 284
대신안마원,부산광역시 서구 구덕로265번길 1 (서대신동1가),247-3799,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.0194981,35.1080159,부산광역시 서구 구덕로265번길 1
대연명인지압원,"부산광역시 남구 수영로 196번길 9, 2층 (대연동)",622-2500,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.0881501,35.1344572,부산광역시 남구 수영로196번길 9 동키치킨
더죤지압안마원,부산광역시 사상구 사상로 175 (괘법동),311-7677,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,128.9855625,35.1610717,부산광역시 사상구 사상로 175 김정열비뇨기과
더테라피전통안마지압원,부산광역시 부산진구 중앙대로 969번길 11 (양정동),852-7845,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.0723655,35.1759123,부산광역시 부산진구 중앙대로969번길 11 양정롯데갤러리움아파트
덕심지압원,"부산광역시 사하구 낙동대로356번길  19, 1층 (당리동)",903-6517,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,128.9788456,35.1015364,부산광역시 사하구 낙동대로 356
동광지압안마원,"부산광역시 중구 동광길47, 3층 301호 (동광동5가, 지엠빌딩)",468-2285,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.0345361,35.1048967,부산광역시 중구 동광길 47
동방JC안마원,"부산광역시 해운대구 해운대해변로203, 오션타워 5층 521호 (우동)",010-7521-0120,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.1537907,35.1588118,부산광역시 해운대구 해운대해변로 203 오션타워
동방수기요법안마원,부산광역시 동래구 아시아드대로 157 (사직동),503-7504,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.064959,35.1984834,부산광역시 동래구 아시아드대로 157
동보지압원,"부산광역시 부산진구 중앙대로 940, 4층 (양정동, 인제빌딩)",851-2998,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.0720991,35.1735997,부산광역시 부산진구 중앙대로 940
동삼안마원,부산광역시 영도구 동삼로 68 (동삼동),403-4174,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.0703957,35.0795044,부산광역시 영도구 동삼로 68
동의안마원,부산광역시 부산진구 가야공원로14번길 82 (개금동),894-8103,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.0253091,35.1521527,부산광역시 부산진구 가야공원로14번길 82
두드림안마원,부산광역시 사하구 낙동대로450번길 12 (당리동),201-0440,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,128.9702333,35.1057892,부산광역시 사하구 낙동대로450번길 12
로하스안마원,부산광역시 사상구 가야대로 258 (주례동),312-8575,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.0009258,35.1500439,부산광역시 사상구 가야대로 258 부산의료기
마이더스안마원,부산광역시 해운대구 재반로 89-5 (재송동),783-1950,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.1251437,35.1867108,부산광역시 해운대구 재반로 89-5 김해뒷고기
명가정통지압안마원,"부산광역시 부산진구 동평로 350, 양정현대프라자 5층 507호 (양정동)",633-2551,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.0632545,35.1745373,부산광역시 부산진구 동평로 350 양정현대프라자
몸편한약손안마원,부산광역시 연제구 고분로13번길 61-3 (연산동),864-3617,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.085702,35.188331,부산광역시 연제구 고분로13번길 61-3
바디케어지압원,부산광역시 부산진구 가야대로 525 (가야동),909-0365,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.0294499,35.153795,부산광역시 부산진구 가야대로 525
바른몸건강지킴이안마원,"부산광역시 수영구 연수로401번길 4, 4층 (수영동)",761-1188,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.1135134,35.1687307,부산광역시 수영구 연수로401번길 4
박기관안마지압원,"부산광역시 서구 해안새벽시장길 48, 2층 (충무동1가)",242-9955,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.0249666,35.0941701,부산광역시 서구 해안새벽시장길 48
백세건강지압안마원,부산광역시 해운대구 윗반송로 51번길 91-31 (반송동),542-6764,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.1554123,35.2315547,부산광역시 해운대구 윗반송로51번길 91-31
백진안마원,"부산광역시 영도구 태종로98, 5층 502호 (대교동2가, 모닝아일랜드)",412-1010,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.0414763,35.0912131,부산광역시 영도구 태종로 98 모닝아일랜드
벧엘지압침술원,부산광역시 남구 석포로 125 (대연동),624-8872,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.0911268,35.1285944,부산광역시 남구 석포로 125
부산보건안마센터안마원,"부산광역시 강서구 명지국제8로 229, 201호 (명지동, 부산명지지구아이메디컬)",553-0754,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,128.917995,35.0985822,부산광역시 강서구 명지국제8로 229 부산명지지구아이메디컬
부산안마지압원,부산광역시 남구 고동골로4번길 17 (문현동),463-5459,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.0722005,35.1375322,부산광역시 남구 고동골로4번길 17
사랑지압원,부산광역시 금정구 서부로 39 (서동),525-9697,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.101922,35.2170691,부산광역시 금정구 서부로 39
사쿠라안마원,부산광역시 해운대구 좌동순환로8번길 54-11 (중동),612-0002,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.1696934,35.1690263,부산광역시 해운대구 좌동순환로8번길 54-11
삼보지압원,부산광역시 부산진구 서전로 68번길 8 (전포동),802-3550,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.0670876,35.1574773,부산광역시 부산진구 서전로68번길 8
서강안마지압원,"부산광역시 사하구 낙동대로 280, 사하역비스타동원상가 301동 B102호 (괴정동)",929-5414,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,128.9842553,35.1001154,부산광역시 사하구 낙동대로 280 사하역 비스타 동원
서면제일약손안마원,"부산광역시 부산진구 새싹로 26-1, 3층 (부전동)",808-3882,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.057395,35.1601624,부산광역시 부산진구 새싹로 26-1
성심안마원,부산광역시 사하구 다대로136번길 6 (신평1동),202-7997,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,128.9775942,35.0904703,부산광역시 사하구 다대로136번길 6
센텀엘림안마원,"부산광역시 해운대구 센텀3로 20, 벡스코 비즈니스 호텔 318호 (우동)",720-8100,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.1329585,35.1678901,부산광역시 해운대구 센텀3로 20 벡스코 비지니스호텔
소생안마원,부산광역시 연제구 연산동 1480-12 2층 203호,010-2357-6202,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.0760655,35.1838899,부산광역시 연제구 거제천로118번길 23 엔학미지앙
손안마원,부산광역시 중구 대청로99번길 19-4 (대청동4가),465-8808,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.0308751,35.1046252,부산광역시 중구 대청로99번길 19-4
수앤수안마원,부산광역시 해운대구 해운대로 814 (좌동),701-1144,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.1776778,35.1695768,부산광역시 해운대구 해운대로 814 세종월드프라자
수정지압안마원,"부산광역시 금정구 서동로 149번길 11, 2층 (서동)",526-2552,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.103331,35.2153391,부산광역시 금정구 서동로149번길 11
수지압안마원,부산광역시 북구 백양대로 1180 2층 201호 (구포동),333-7574,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.0052121,35.2076215,부산광역시 북구 백양대로 1180
수풀림안마원,부산광역시  중구 중앙대로 80 노블리안 지하1층 (중앙동4가),462-9595,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.0367199,35.1047917,부산광역시 중구 중앙대로 80 노블리안2
승록안마원,"부산광역시 부산진구 진연로 9, 301호 (양정동, 제나두)",868-8955,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.0740669,35.1785357,부산광역시 부산진구 진연로 9 제나두
신만수물리지압원,부산광역시 부산진구 가야대로 718 (범천동),804-7923,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.0500612,35.1570543,부산광역시 부산진구 가야대로 718
신세계안마원,부산광역시 해운대구 재반로 204 (반여동),990-9679,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.1308859,35.1953722,부산광역시 해운대구 재반로 204 야무진 FASHION
썬안마원,"부산광역시 해운대구 재반로 103번길 가길 58, 101호 (재송동)",731-0399,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.1259987,35.1875421,부산광역시 해운대구 재반로 102 꾸바꾸바
약손경락지압원,부산광역시 동래구 명륜로103번길 2 (명륜동),557-1470,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.082807,35.2033378,부산광역시 동래구 명륜로103번길 2
약손지압원,부산광역시 북구 만덕대로 129 (덕천동),332-5632,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.0188318,35.2133433,부산광역시 북구 만덕대로 129
약청사지압원,부산광역시 중구 흑교로 79 (보수동2가),247-3110,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.0232154,35.1061912,부산광역시 중구 흑교로 79
양지안마지압원,"부산광역시 사하구 낙동대로 376, 3층 (당리동)",205-2522,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,128.9771593,35.1026455,부산광역시 사하구 낙동대로 376
어울림지압원,"부산광역시 남구 못골로12번길 35, 6층 602호 (대연동)",907-8478,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.0857478,35.1355082,부산광역시 남구 못골로12번길 35
연산우리들안마원,부산광역시 연제구 월드컵대로10번길 2 (연산동),544-9928,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.0865798,35.1754428,부산광역시 연제구 월드컵대로10번길 2
영도지압안마원,부산광역시 영도구 동삼서로 6-4 (동삼동),403-6829,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.06878,35.079442,부산광역시 영도구 동삼서로 6-4
영성안마원,부산광역시 남구 전포대로 76 (문현동),634-7576,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.0670858,35.1435624,부산광역시 남구 전포대로 76
영지압원,부산광역시 서구 천마로 145-1 (남부민동),010-6708-2816,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.0232022,35.0887932,부산광역시 서구 천마로 145-1
예림안마원,"부산광역시 서구 대영로 78, 2층 (동대신동1가, 동대맨션)",255-3175,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.0197022,35.1103374,부산광역시 서구 대영로 78 동대맨션
온지압안마원,부산광역시 동구 조방로 38 (범일동),867-9417,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.0614206,35.1400343,부산광역시 동구 조방로 38
용약손안마원,부산광역시 동래구 명안로39길 4 (안락동),523-5052,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.1046658,35.2000796,부산광역시 동래구 명안로 40
용인안마원,부산광역시 사하구 다대로140번길 163 (신평동),203-7297,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,128.9745487,35.0929255,부산광역시 사하구 다대로140번길 163
우리안마원,"부산광역시 남구 못골 번영로 11, 5층 (대연동, 성산빌딩)",626-7575,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.0889406,35.1361685,부산광역시 남구 못골번영로 11
우리전통안마원,"부산광역시 연제구 과정로 202, 2층 (연산동)",753-3379,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.1052502,35.187987,부산광역시 연제구 과정로 202
우진지압원,부산광역시 북구 화명신도시로 129 골든프라자 502호 (화명동),361-1116,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.0106656,35.2356071,부산광역시 북구 화명신도시로 129 골든프라자
웰빙안마원,부산광역시 부산진구 당감서로9번길 3 (당감동),896-9675,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.0362121,35.1615931,부산광역시 부산진구 당감서로9번길 3
위드지압원,부산광역시 부산진구 동평로420번길 13 (양정동),852-7566,http://xn--hz2b11ew7coa499cy81avya.kr/skin/sub_page.php?page_idx=141,부산,129.0701839,35.172538,부산광역시 부산진구 동평로420번길 13
