,name,addr,phone,etc
0,HC힐링안마원,부산광역시 동구 범일동 901 동성빌딩 2층,204-7575,안마바우처제공기관
1,가구거리 햇님안마원,"부산광역시 동구 중앙대로 460번길 32, 1층 (좌천동)",632-6544,
2,가나약손119안마원,부산광역시 해운대구 중동1로 38 (중동),731-7578,안마바우처제공기관
3,가람안마원,부산광역시 해운대구 해운대로469번길 138 (우동),747-1771,
4,가야안마지압원,부산광역시 부산진구 가야대로 510번길 84 (가야동),991-4638,안마바우처제공기관
5,가온안마지압원,"부산광역시 수영구 수영로 691-10, 2층 (수영동)",759-7577,안마바우처제공기관
6,가자장수힐링안마원,부산광역시 동구 조방로 39-11 (범일동),635-7575,안마바우처제공기관
7,가장좋은날안마지압원,부산광역시 사하구 승학로71번길 30 당리푸르지오 상가 110동 303호 (당리동),205-7577,안마바우처제공기관
8,강남힐링지압안마원,"부산광역시 부산진구 전포대로300번길20, 궁전스카이오피스텔 3층 301호 (전포동)",805-2816,안마바우처제공기관
9,강동근안마원,부산광역시 사하구 낙동대로 352 (당리동),529-7070,안마바우처제공기관
10,건강사랑지압안마원,부산광역시 동구 중앙대로 181 (초량동),204-3312,안마바우처제공기관
11,건강안마지압원,"부산광역시 부산진구 가야대로 761, 3층 (부전동)",711-6722,안마바우처제공기관
12,경주지압안마원,"부산광역시 동래구 석사로 34번길 22, 2층 (사직동)",010-3099-6662,안마바우처제공기관
13,광안건강안마원,부산광역시 수영구 광안로7번길 8 (광안동),728-1844,안마바우처제공기관
14,그린안마원,부산광역시 북구 백양대로 1022-1 (구포동),343-7579,안마바우처제공기관
15,금봉안마원,부산광역시 부산진구 범일로 160 (범천동) 5층,636-3836,안마바우처제공기관
16,금정안마지압원,부산광역시 금정구 구서중앙로15번길 9 (구서동),582-9896,안마바우처제공기관
17,기장지압안마원,부산광역시 기장군 기장읍 대청로22번길 19,723-3631,안마바우처제공기관
18,김성심건강안마원,"부산광역시 남구 수영로 282, 310호 (대연동, 현대오피스텔)",918-7575,안마바우처제공기관
19,김현희안마원,부산광역시 사상구 가야대로 330 (주례동),805-7575,안마바우처제공기관
20,노벨안마원,"부산광역시 부산진구 새싹로 30, 경동파크타워 1층 (부전동)",803-5599,
21,뉴그린안마원,"부산광역시 중구 중앙대로 129, 5층 503호 (대창동1가, 삼성빌딩)",466-8575,안마바우처제공기관
22,늘푸른세상안마원,부산광역시 부산진구 서전로58번길 80 (전포동),816-9766,안마바우처제공기관
23,다손안마원,"부산광역시 사상구 사상로 512 2층 a동 204호 (모라동, 모라리버빌)",304-9801,안마바우처제공기관
24,다원약손안마원,부산광역시 해운대구 윗반송로51번길 37-29 (반송동),542-8397,안마바우처제공기관
25,대동안마지압원,부산광역시 서구 구덕로 284 (동대신동1가),245-6123,안마바우처제공기관
26,대신안마원,부산광역시 서구 구덕로265번길 1 (서대신동1가),247-3799,
27,대연명인지압원,"부산광역시 남구 수영로 196번길 9, 2층 (대연동)",622-2500,안마바우처제공기관
28,더죤지압안마원,부산광역시 사상구 사상로 175 (괘법동),311-7677,안마바우처제공기관
29,더테라피전통안마지압원,부산광역시 부산진구 중앙대로 969번길 11 (양정동),852-7845,안마바우처제공기관
30,덕심지압원,"부산광역시 사하구 낙동대로356번길  19, 1층 (당리동)",903-6517,
31,동광지압안마원,"부산광역시 중구 동광길47, 3층 301호 (동광동5가, 지엠빌딩)",468-2285,안마바우처제공기관
32,동방JC안마원,"부산광역시 해운대구 해운대해변로203, 오션타워 5층 521호 (우동)",010-7521-0120,
33,동방수기요법안마원,부산광역시 동래구 아시아드대로 157 (사직동),503-7504,안마바우처제공기관
34,동보지압원,"부산광역시 부산진구 중앙대로 940, 4층 (양정동, 인제빌딩)",851-2998,
35,동삼안마원,부산광역시 영도구 동삼로 68 (동삼동),403-4174,안마바우처제공기관
36,동의안마원,부산광역시 부산진구 가야공원로14번길 82 (개금동),894-8103,안마바우처제공기관
37,두드림안마원,부산광역시 사하구 낙동대로450번길 12 (당리동),201-0440,안마바우처제공기관
38,로하스안마원,부산광역시 사상구 가야대로 258 (주례동),312-8575,안마바우처제공기관
39,마이더스안마원,부산광역시 해운대구 재반로 89-5 (재송동),783-1950,안마바우처제공기관
