,number,region,name,addr,phone,link
0,12,대구 달서구,몸편한안마원,대구광역시 달서구 달구벌대로1545.골든뷰메디타워 6층,053-562-1256,http://www.dganma.com/bbs/board.php?bo_table=find&wr_id=27
1,11,대구 수성구,수성매니어건강안마원,"대구광역시 수성구 범어로16길 14, 2층 (범어동) (수성구청역 3번 출구)",053-754-8388,http://www.dganma.com/bbs/board.php?bo_table=find&wr_id=18
2,10,대구 남구,건강지킴이안마원,"대구시 남구 대봉로 42, 한도상가 103호",053-654-0115,http://www.dganma.com/bbs/board.php?bo_table=find&wr_id=15
3,9,대구 중구,허준안마원,대구시 중구 남일동 131-1번지 평강빌딩201호,053)254-7579,http://www.dganma.com/bbs/board.php?bo_table=find&wr_id=14
4,8,대구 동구,제일안마원                    댓글3개,대구광역시 동구 율하동로 23길 38 (율하동 228-15),053)290-0116,http://www.dganma.com/bbs/board.php?bo_table=find&wr_id=13
5,7,대구 수성구,조은건강안마센터,대구광역시 수성구 범어동 752 3층,053)424-5577,http://www.dganma.com/bbs/board.php?bo_table=find&wr_id=10
6,6,대구 남구,웰빙안마원,"대구시 남구 명덕로 46, 동산빌딩 3층",053)652-7575,http://www.dganma.com/bbs/board.php?bo_table=find&wr_id=9
7,5,대구 중구,약손안마원,"대구광역시 중구  태평로1가 1-187, 태평라이프아파트  241호",053)425-7695,http://www.dganma.com/bbs/board.php?bo_table=find&wr_id=8
8,4,대구 서구,이창숙안마원,대구광역시 서구 국채보상로75길 36-2,053-564-8575,http://www.dganma.com/bbs/board.php?bo_table=find&wr_id=5
9,3,대구 중구,영광안마원,대구시 중구 남일동 131-1,053-253-1889 / 010-4509-2260,http://www.dganma.com/bbs/board.php?bo_table=find&wr_id=4
10,2,대구 수성구,토닥토닥 몸사랑 안마원,대구시 수성구 범어동 35-1번지 범어역 우방유쉘상가 지하1층 제2-B02호,053-964-9373,http://www.dganma.com/bbs/board.php?bo_table=find&wr_id=3
11,1,대구 달서구,뉴몸튼튼안마원,"대구광역시 달서구 월성로 20, 건도파라다이스 3층",053-633-9917,http://www.dganma.com/bbs/board.php?bo_table=find&wr_id=2
