,number,region,name,addr,phone,link
0,32,포항시,장성안마원,포항시 북구 새천년대로1076번길 27-6(두호동 1101-5),010-9141-7578,http://kbanma.or.kr/bbs/board.php?bo_table=e_b&sca=%ED%8F%AC%ED%95%AD%EC%8B%9C
1,31,상주시,상주 척추 안마원,상주시 동수로 69(서문동 61-7),010-2533-0298,http://kbanma.or.kr/bbs/board.php?bo_table=e_b&sca=%EC%83%81%EC%A3%BC%EC%8B%9C
2,30,고령군,O-편한케어안마원,고령군 대가야읍 쾌빈리 554-8(왕릉로 95),054-610-4789,http://kbanma.or.kr/bbs/board.php?bo_table=e_b&sca=%EA%B3%A0%EB%A0%B9%EA%B5%B0
3,29,영덕군,라파지압안마원,영덕군 영덕읍 남석2길 5,010-3939-6618,http://kbanma.or.kr/bbs/board.php?bo_table=e_b&sca=%EC%98%81%EB%8D%95%EA%B5%B0
4,28,경주시,중앙 백안마원,"경주시 화랑로 53, 2층 (성건동)",010-5691-9989,http://kbanma.or.kr/bbs/board.php?bo_table=e_b&sca=%EA%B2%BD%EC%A3%BC%EC%8B%9C
5,27,경주시,가자안마원,경주시 북정로 61(성동동),010-2533-8746,http://kbanma.or.kr/bbs/board.php?bo_table=e_b&sca=%EA%B2%BD%EC%A3%BC%EC%8B%9C
6,26,울진군,약손안마지압원,울진군 울진읍 울진 중앙로 208,010-3399-8898,http://kbanma.or.kr/bbs/board.php?bo_table=e_b&sca=%EC%9A%B8%EC%A7%84%EA%B5%B0
7,25,영주시,영주안마원,영주시 중앙로 74(영주동),054-637-3309,http://kbanma.or.kr/bbs/board.php?bo_table=e_b&sca=%EC%98%81%EC%A3%BC%EC%8B%9C
8,24,경주시,경북안마원,경주시 강동면 강동로 23,010-3549-9080,http://kbanma.or.kr/bbs/board.php?bo_table=e_b&sca=%EA%B2%BD%EC%A3%BC%EC%8B%9C
9,23,경주시,건강지압 안마원,경주시 성건동 342-14,010-4725-6988,http://kbanma.or.kr/bbs/board.php?bo_table=e_b&sca=%EA%B2%BD%EC%A3%BC%EC%8B%9C
10,22,안동시,바른체형 안마원,안동시 경동로 159(송현동),054-853-3838,http://kbanma.or.kr/bbs/board.php?bo_table=e_b&sca=%EC%95%88%EB%8F%99%EC%8B%9C
11,21,포항시,황금안마원,포항시 북구 장성동 1575-18,010-3534-2058,http://kbanma.or.kr/bbs/board.php?bo_table=e_b&sca=%ED%8F%AC%ED%95%AD%EC%8B%9C
12,20,경주시,가고픈 약손안마원,경주시 금성로 280,054-776-9877,http://kbanma.or.kr/bbs/board.php?bo_table=e_b&sca=%EA%B2%BD%EC%A3%BC%EC%8B%9C
13,19,영천시,다나안마원,영천시 야사동 334-35,010-5556-8733,http://kbanma.or.kr/bbs/board.php?bo_table=e_b&sca=%EC%98%81%EC%B2%9C%EC%8B%9C
14,18,김천시,약손명가 안마원,김천시 중앙공원길 9,054-432-7744,http://kbanma.or.kr/bbs/board.php?bo_table=e_b&sca=%EA%B9%80%EC%B2%9C%EC%8B%9C
15,17,구미시,수 안마원,구미시 봉곡남로 110(봉곡동)2층,010-3668-6378,http://kbanma.or.kr/bbs/board.php?bo_table=e_b&sca=%EA%B5%AC%EB%AF%B8%EC%8B%9C
16,16,경주시,가 안마원,"경주시 금성로 295, 경주 중앙시장 상가 제 8호 2층 4호",054-777-6568,http://kbanma.or.kr/bbs/board.php?bo_table=e_b&sca=%EA%B2%BD%EC%A3%BC%EC%8B%9C
17,15,상주시,청춘 힐링 안마원,"상주시 상서문3길 80, 1층",010-6564-1122,http://kbanma.or.kr/bbs/board.php?bo_table=e_b&sca=%EC%83%81%EC%A3%BC%EC%8B%9C
18,14,경주시,안마나라 치료원,"경주시 북성로 51번길, 26-10 경주오피스텔 213호",010-3661-0201,http://kbanma.or.kr/bbs/board.php?bo_table=e_b&sca=%EA%B2%BD%EC%A3%BC%EC%8B%9C
19,13,경주시,ACE 안마원,경주시 태종로 699번길 20-1,010-3534-1199,http://kbanma.or.kr/bbs/board.php?bo_table=e_b&sca=%EA%B2%BD%EC%A3%BC%EC%8B%9C
20,12,구미시,몸사랑 경락안마원,"구미시 상사서로 223(사곡동 603-179), 코스모스 상가 1층",054-463-8259,http://kbanma.or.kr/bbs/board.php?bo_table=e_b&sca=%EA%B5%AC%EB%AF%B8%EC%8B%9C
21,11,포항시,시원한 안마 지압원,포항시 북구 성실로 30-10(장성동 866-192),"054-232-6546, 010-2804-6546",http://kbanma.or.kr/bbs/board.php?bo_table=e_b&sca=%ED%8F%AC%ED%95%AD%EC%8B%9C
22,10,포항시,쌍사 수 안마원,포항시 북구 중흥로 140번길 7-2,054-277-6369,http://kbanma.or.kr/bbs/board.php?bo_table=e_b&sca=%ED%8F%AC%ED%95%AD%EC%8B%9C
23,9,포항시,포항 이동 안마원,"포항시 남구 대이로 93(대잠동), 2층",054-610-7575,http://kbanma.or.kr/bbs/board.php?bo_table=e_b&sca=%ED%8F%AC%ED%95%AD%EC%8B%9C
24,8,포항시,포항안마원,포항시 남구 대도동 14-7 금성대도타운 상가107호,054-273-8857 / 010-3399-8898,http://kbanma.or.kr/bbs/board.php?bo_table=e_b&sca=%ED%8F%AC%ED%95%AD%EC%8B%9C
25,7,구미시,인동안마원,구미시 인동중앙로7길 11,054-473-9875,http://kbanma.or.kr/bbs/board.php?bo_table=e_b&sca=%EA%B5%AC%EB%AF%B8%EC%8B%9C
26,6,영주시,전통안마원,영주시 지천로 184번길 22,010-9938-7558,http://kbanma.or.kr/bbs/board.php?bo_table=e_b&sca=%EC%98%81%EC%A3%BC%EC%8B%9C
27,5,포항시,사랑케어 안마원,포항시 북구 대신동 956-30,054-244-7720,http://kbanma.or.kr/bbs/board.php?bo_table=e_b&sca=%ED%8F%AC%ED%95%AD%EC%8B%9C
28,4,봉화군,테라피 지압 안마원,봉화군 봉화읍 내성로 94 2층,054-673-3301,http://kbanma.or.kr/bbs/board.php?bo_table=e_b&sca=%EB%B4%89%ED%99%94%EA%B5%B0
29,3,구미시,건강안마원,"구미시 원평동 444-8번지 (경북 구미시 원남로 130-1, 1층)",054-444-7588,http://kbanma.or.kr/bbs/board.php?bo_table=e_b&sca=%EA%B5%AC%EB%AF%B8%EC%8B%9C
30,2,경산시,힐링안마원,"경산시 중방동 859-4번지 (경안로 39길 31, 동현빌딩 1층)",053-801-6633,http://kbanma.or.kr/bbs/board.php?bo_table=e_b&sca=%EA%B2%BD%EC%82%B0%EC%8B%9C
31,1,경산시,복손안마원,경산시 옥산동 407번지 (성암로 5길 11),"053-812-2988, 010-3823-4849",http://kbanma.or.kr/bbs/board.php?bo_table=e_b&sca=%EA%B2%BD%EC%82%B0%EC%8B%9C
