,number,region,name,addr,phone,link
0,60,서구,가정바른손안마원,인천광역시 서구 가정동 617-3 가정봄프라자 301호,032-568-2230,https://anma.or.kr/bbs/board.php?bo_table=B14&wr_id=80&page=1
1,59,서구,라임안마원,인천광역시 서구 청라동 162-9 라임타워 502호,032-721-5453,https://anma.or.kr/bbs/board.php?bo_table=B14&wr_id=79&page=1
2,58,미추홀구,바른체형교정안마원,"인천 미추홀구 경원대로 869, 209호 (주안동,르네상스타워)",032-227-7575,https://anma.or.kr/bbs/board.php?bo_table=B14&wr_id=78&page=1
3,57,부평구,상쾌한안마원,"인천 부평구 주부토로33, 4층 (부평동)",032-503-0177,https://anma.or.kr/bbs/board.php?bo_table=B14&wr_id=77&page=1
4,56,계양구,건강지킴안마원,"인천 계양구 계산새로87번길 16, 202호 (용종동, 계양신명스카이홈)",032-547-8580,https://anma.or.kr/bbs/board.php?bo_table=B14&wr_id=76&page=1
5,55,계양구,계산지압안마원,"인천 계양구 장제로 719-23, 502호 (작전동)",032-555-2236,https://anma.or.kr/bbs/board.php?bo_table=B14&wr_id=75&page=1
6,54,서구,검암지압안마원,"인천 서구 검암로 27, 중앙프라자 201호 (검암동)",032-716-9166,https://anma.or.kr/bbs/board.php?bo_table=B14&wr_id=74&page=1
7,53,서구,가좌보건안마원,"인천 서구 건지로399번길 3, 301호 (가좌동)",032-710-7571,https://anma.or.kr/bbs/board.php?bo_table=B14&wr_id=73&page=1
8,52,미추홀구,가온안마원,인천 미추홀구 인주대로162 삼성빌딩5층 (용현동),032-888-3697,https://anma.or.kr/bbs/board.php?bo_table=B14&wr_id=72&page=1
9,51,부평구,신의손길안마원,"인천 부평구 세월천로 23, 2층 (청천동)",032-502-5302,https://anma.or.kr/bbs/board.php?bo_table=B14&wr_id=71&page=1
10,50,서구,검단서재민안마원,"인천 서구 완정로10번길 6-6, 302호 (마전동,두경프라자)",032-568-4880,https://anma.or.kr/bbs/board.php?bo_table=B14&wr_id=70&page=1
11,49,미추홀구,쉼터안마원,인천 미추홀구 경인남길102번길 107(용현동),032-442-6636,https://anma.or.kr/bbs/board.php?bo_table=B14&wr_id=69&page=1
12,48,연수구,건강연수안마원,"인천 연수구 학나래로6번길 35, 5층 (선학동)",032-818-8575,https://anma.or.kr/bbs/board.php?bo_table=B14&wr_id=68&page=1
13,47,중구,가람안마원,인천 중구 하늘별빛로65번길 7-9(중산동) 스카이타워 502호,032-751-3746,https://anma.or.kr/bbs/board.php?bo_table=B14&wr_id=66&page=1
14,46,강화.옹진군,국가대표안마원,"인천 옹진군 영흥면 영흥로 298, 101호",032-880-0591,https://anma.or.kr/bbs/board.php?bo_table=B14&wr_id=65&page=1
15,45,미추홀구,오스마일안마원,인천 미추홀구 신기길 28 (주안동),010-9511-5169,https://anma.or.kr/bbs/board.php?bo_table=B14&wr_id=64&page=2
16,44,남동구,두드림안마지압원,"인천 남동구 장승로9, 4층 (만수동, 신비프라자)",032-464-7778,https://anma.or.kr/bbs/board.php?bo_table=B14&wr_id=63&page=2
17,43,산모안마,힐링스토리,인천 연수구 아트센터대로 107 커넬워크 302동(가을동),032-834-7675,https://anma.or.kr/bbs/board.php?bo_table=B14&wr_id=62&page=2
18,42,산모안마,산모라인,인천 계양구 양지로 7 (동양동),010-9386-9111,https://anma.or.kr/bbs/board.php?bo_table=B14&wr_id=61&page=2
19,41,미추홀구,휴안마토피아안마원,"인천 미추홀구 경인로 391, 현대아케이트 3층 7호 (주안동)",032-202-8575,https://anma.or.kr/bbs/board.php?bo_table=B14&wr_id=60&page=2
