,region,name,addr,phone,link
0,서울,가타리나안마원,서울특별시 종로구 필운대로 15 (필운동),02-736-5965,http://www.anmawon.com/FindShop/Detail?shopId=02-0058&page=1
1,서울,강남건강안마센터,"서울특별시 강남구 개포로 615 (개포동)석탑프라자 6층 603,604호",02-451-6010,http://www.anmawon.com/FindShop/Detail?shopId=02-0043&page=1
2,서울,강서지압안마원,서울 강서구 강서로 385(마곡동 794-1)우성에스비타워 1004호,02-2662-7722,http://www.anmawon.com/FindShop/Detail?shopId=02-0004&page=1
3,서울,강재만안마원,서울시 강북구 한천로139길 10 일심빌딩 302호,02-906-9990,http://www.anmawon.com/FindShop/Detail?shopId=02-0165&page=1
4,서울,강지압안마원,서울특별시 종로구 진흥로 432 (구기동)4층 403호,02-379-3705,http://www.anmawon.com/FindShop/Detail?shopId=02-0059&page=1
5,서울,강흥수안마원,서울시 강서구 마곡서로 152 (마곡동) A동 304호,02-852-5588,http://www.anmawon.com/FindShop/Detail?shopId=02-0060&page=1
6,서울,건강지압안마원,서울시 동대문구 보문로 18(신설동)(신설동 81-31),02-953-5050,http://www.anmawon.com/FindShop/Detail?shopId=02-0020&page=1
7,서울,건강클리닉안마원,서울특별시 성북구 한천로78길 36 (석관동)(석관동128-4) 2층,02-969-0511,http://www.anmawon.com/FindShop/Detail?shopId=02-0033&page=1
8,서울,건강플러스지압안마원,서울특별시 영등포구 당산로 122(당산동3가 270) 우미빌딩 121호,02-584-5456,http://www.anmawon.com/FindShop/Detail?shopId=02-0061&page=1
9,서울,건강한지압안마원,서울시 송파구 백제고분로48길 43층(방이동 110-6),02-371-0816,http://www.anmawon.com/FindShop/Detail?shopId=02-0155&page=1
10,서울,금호지압안마원,서울시 성동구 장터길 27(금호동3가) 2층,02-2272-8770,http://www.anmawon.com/FindShop/Detail?shopId=02-0161&page=2
11,서울,김해숙힐링안마원,서울특별시 관악구 남부순환로 1526(신림동) 2층,02-864-7578,http://www.anmawon.com/FindShop/Detail?shopId=02-0064&page=2
12,서울,나클린안마원,서울특별시 도봉구 마들로 624 (방학동)206호,02-995-4000,http://www.anmawon.com/FindShop/Detail?shopId=02-0065&page=2
13,서울,남산안마원,서울특별시 중구 퇴계로16길 35-21 (남산동1가) 1층,02-318-7582,http://www.anmawon.com/FindShop/Detail?shopId=02-0042&page=2
14,서울,남양안마원,서울특별시 도봉구 노해로41길 10 (쌍문동),02-3394-7001,http://www.anmawon.com/FindShop/Detail?shopId=02-0110&page=2
15,서울,늘푸른안마원,서울특별시 동대문구 망우로21가길 4 (휘경동) 2층 (휘경동) 2층,02-6080-8275,http://www.anmawon.com/FindShop/Detail?shopId=02-0160&page=2
16,서울,늘함안마원,서울시 송파구 오금로 13길 22 301호,02-424-3313,http://www.anmawon.com/FindShop/Detail?shopId=02-0159&page=2
17,서울,닥터수,서울특별시 종로구 대학로12길 69 (동숭동) 4층,02-743-2333,http://www.anmawon.com/FindShop/Detail?shopId=02-0175&page=2
18,서울,대성안마원,서울특별시 강북구 인수봉로56길 9-2 (수유동) 1층,010-2016-7575,http://www.anmawon.com/FindShop/Detail?shopId=02-0179&page=2
19,서울,더나은안마원,"서울특별시 도봉구 방학동 652-20, 201호",02-954-1030,http://www.anmawon.com/FindShop/Detail?shopId=02-0186&page=2
20,서울,도봉안마원,서울특별시 도봉구 노해로60길 104 (쌍문동 100-26) 2층,"010-6263-6360, 02-900-6889",http://www.anmawon.com/FindShop/Detail?shopId=02-0070&page=3
21,서울,도암안마원,"서울특별시 서초구 방배로13길 18 (방배동, 방배아크로타워) 213-214호",02-583-7553,http://www.anmawon.com/FindShop/Detail?shopId=02-0071&page=3
22,서울,도원안마원,서울특별시 관악구 남현3길 69 (남현동)(남현동 1062-20) 파크빌오피스텔 102호,02-586-3426,http://www.anmawon.com/FindShop/Detail?shopId=02-0072&page=3
23,서울,동일지압안마원,서울특별시 동작구 동작대로17길 11 (사당동)(사당동 1009-25),02-585-0238,http://www.anmawon.com/FindShop/Detail?shopId=02-0073&page=3
24,서울,라파안마원,서울특별시 양천구 중앙로 237 (신정동 1182-11) 507호,"010-5298-6111, 02-2647-7975",http://www.anmawon.com/FindShop/Detail?shopId=02-0075&page=3
25,서울,마곡지압안마원,서울 강서구 강서로 462 대룡드림타워 2층 203호,02-3665-2677,http://www.anmawon.com/FindShop/Detail?shopId=02-0138&page=3
