name,addr,phone,x,y,NAVER_addr
향기안마시술소,경기도 수원시 팔달구 효원로235번길 46-11 (인계동),031-237-6496,127.0290448,37.2648956,경기도 수원시 팔달구 효원로235번길 46-11
제이제이(JJ),전라북도 전주시 완산구 홍산남로 79 (효자동3가),063-224-6609,127.1106835,35.8160187,전라북도 전주시 완산구 홍산남로 79
조은안마원,"경상남도 창원시 성산구 마디미서로 54, 서울아동병원 1002호 (상남동)",055-289-7582,128.6808909,35.2208386,경상남도 창원시 성산구 마디미서로 54 서울아동병원
백선생지압안마원,경상남도 산청군 신안면 원지강변로63번길 30-38,,127.9714132,35.3021297,경상남도 산청군 신안면 원지강변로63번길 30-38
라파지압원,"충청남도 서산시 예천1로 36, 2층 (예천동)",,126.4466870,36.7681940,충청남도 서산시 예천1로 36
수정지압안마원,"부산광역시 금정구 서동로149번길 11, 2층 (서동)",051-526-2552,129.1033310,35.2153391,부산광역시 금정구 서동로149번길 11
라임안마원,"인천광역시 서구 청라라임로 65, 라임타워 5층 502호 (청라동)",,126.6529516,37.5334604,인천광역시 서구 청라라임로 65 라임타워
휠안마시술소,"경기도 성남시 분당구 성남대로331번길 3-13, 지층 01호 (정자동, 대명제스트빌딩)",031-711-6620,127.1077031,37.3643791,경기도 성남시 분당구 성남대로331번길 3-13 대명제스트빌딩
수안마시술소,"울산광역시 남구 왕생로62번길 5, 4~5층 (달동)",276-9598,129.3324208,35.5392365,울산광역시 남구 왕생로62번길 5
가은안마시술소,"경기도 성남시 분당구 돌마로 73, 지1층 (금곡동, 우방타워)",712-7958,127.1100314,37.3504009,경기도 성남시 분당구 돌마로 73 우방코아
건강지킴이안마원,강원도 홍천군 홍천읍 희망로 67,033-432-1075,127.8903578,37.6942749,강원도 홍천군 홍천읍 희망로 67
뉴속초안마시술소,강원도 속초시 먹거리2길 34 (교동),033-638-0022,128.5767198,38.1936523,강원도 속초시 먹거리2길 34
핑크안마시술소,"경기도 안산시 단원구 광덕2로 50-15, 301~306호 (초지동, 정우프라자)",031-403-0123,126.8158512,37.3092088,경기도 안산시 단원구 광덕2로 50-15 정우프라자
A안마시술소,경상남도 거제시 서문로 70 (고현동),,128.6233605,34.8895958,경상남도 거제시 서문로 70 옥재철정형외과
밝은세상안마원신천역점,"대구광역시 동구 송라로 86, 4층 (신천동)",053-754-8885,128.6177757,35.8748900,대구광역시 동구 송라로 86 대한빌딩
보성안마원,"경상남도 김해시 내외중앙로 44, 덕산베스트코아 302호 (외동)",055-905-8080,128.8668900,35.2338863,경상남도 김해시 내외중앙로 44
