번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),의료유사업종별명,종업원수,자격증소유자수,보조종업원수,시설관리자수,기타종업원수,병상수,욕실면적,총면적
1,의료유사업,01_01_10_P,4000000,PHMB420164000018042400001,20160902,,2,휴업,2,휴업,,20220221,20230220,,031-378-2205,,,,"경기도 오산시 한신대길 125-1, 지하1층 (양산동)",18101,아픈데척척지압안마원,2.02202E+13,U,40:00.0,안마원,202010.7976,410413.6764,안마원,1,0,0,0,0,0,0,52.2
2,의료유사업,01_01_10_P,3520000,PHMB420013520019042400001,20010512,,2,휴업,2,휴업,,20220117,20221017,,032-822-8785,,406120,인천광역시 연수구 청학동 498-10,인천광역시 연수구 용담로85번길 8-7 (청학동),21926,연수안마시술소,2.02201E+13,U,40:00.0,안마시술소,171232.51,435017.6829,안마시술소,2,0,0,0,0,13,70.07,686.1
3,의료유사업,01_01_10_P,4640000,PHMB420034640131042400003,20031230,,2,휴업,2,휴업,,20210805,20220805,,063-242-6808,,,,전라북도 전주시 덕진구 산정1길 4 (산정동),55015,수,2.02108E+13,U,40:00.0,안마시술소,215212.276,259635.0119,안마시술소,3,0,0,0,0,15,0,453.97
4,의료유사업,01_01_10_P,4000000,PHMB420094000018042400001,20091014,,2,휴업,2,휴업,,20220509,20220808,,031-378-4133,,,,"경기도 오산시 성호대로 130, 801,802호 (원동, 중앙씨티월1)",18139,펄 안마시술소,2.02205E+13,U,40:00.0,안마시술소,206663.1035,405187.0336,안마시술소,2,0,0,0,0,18,0,465.48
5,의료유사업,01_01_10_P,3090000,PHMB420193090033042400001,20191219,,2,휴업,2,휴업,,20220531,20221130,,02-931-9890,,,서울특별시 도봉구 창동 451번지 한신아파트,"서울특별시 도봉구 덕릉로60바길 17, 한신아파트 (창동)",1474,한기쁨의 따뜻한 혜민원 안마원,2.02205E+13,U,40:00.0,안마원,203553.3616,459627.9141,안마원,0,0,0,0,0,0,0,116.25
6,의료유사업,01_01_10_P,4800000,PHMB420114800026042400007,20111005,,2,휴업,2,휴업,,20210406,20220405,,,,530420,"전라남도 목포시 옥암동 1035번지 19호 (4,5층)","전라남도 목포시 통일대로 79 (옥암동,(4,5층))",,캡틴안마시술소,2.02104E+13,U,40:00.0,안마시술소,148012.2892,144836.4629,안마시술소,2,,,,,10,,414.38
7,의료유사업,01_01_10_P,4940000,PHMB420154940017042400001,20151026,,2,휴업,2,휴업,,20210409,20220408,,061-471-7942,,,전라남도 영암군 영암읍 역리 159번지 1호,전라남도 영암군 영암읍 중앙로 76-1,58416,기찬약손지압,2.02104E+13,U,40:00.0,안마원,172439.4945,144947.5515,안마원,1,,,,,1,,32
8,의료유사업,01_01_10_P,6520000,PHMB420036520074042400001,20180704,,2,휴업,2,휴업,,20200110,20250109,,064-732-3312,,697841,제주특별자치도 서귀포시  412번지 1호,제주특별자치도 서귀포시 태평로439번길 18-5 (서귀동),63595,명안마(지압)원,2.01912E+13,U,40:00.0,안마원,159417.8324,-27583.54555,안마원,0,,,,,,,30
9,의료유사업,01_01_10_P,3260000,PHMB420093260022042400001,20090731,,2,휴업,2,휴업,,20220114,20220630,,051-253-7083,,602091,부산광역시 서구 서대신동1가 15번지 3호,부산광역시 서구 구덕로265번길 1 (서대신동1가),,대신안마원,2.02201E+13,U,40:00.0,안마원,384053.2601,180632.241,안마원,1,0,0,0,0,0,0,56
10,의료유사업,01_01_10_P,3740000,PHMB420103740033042400005,20100920,,2,휴업,2,휴업,,20220613,20220715,,,,442834,"경기도 수원시 팔달구 인계동 1032번지 3호 6,7층","경기도 수원시 팔달구 인계로108번길 39-12 (인계동,6,7층)",,스타안마시술소,2.02206E+13,U,40:00.0,안마시술소,202538.2785,418194.6007,안마시술소,3,0,0,0,0,17,0,725.04
11,의료유사업,01_01_10_P,5020000,PHMB420145020055042400001,20140530,,2,휴업,2,휴업,,20200522,20221230,,,,790826,경상북도 포항시 남구 대잠동 946번지,경상북도 포항시 남구 새천년대로434번길 20 (대잠동),37761,피쉬안마시술소,2.02101E+13,U,40:00.0,안마시술소,411488.7731,281769.9162,안마시술소,2,,,,,32,,818.11
12,의료유사업,01_01_10_P,5710000,PHMB420185710109042400001,20180806,,2,휴업,2,휴업,,20201209,20221231,,,,,충청북도 청주시 청원구 내덕동 368번지 3호,"충청북도 청주시 청원구 공항로 49-1, 2층 (내덕동)",28478,수지안마원,2.02012E+13,U,40:00.0,안마원,243466.0462,351281.2873,안마원,,,,,,1,,80.56
13,의료유사업,01_01_10_P,4520000,PHMB420204520031042400001,20200714,,2,휴업,2,휴업,,20201220,20211231,,,,,충청남도 아산시 둔포면 석곡리 1713,"충청남도 아산시 둔포면 중앙공원로 38, 5,6층",31406,숲안마시술소,2.02111E+13,U,40:00.0,안마시술소,,,안마시술소,2,0,0,0,0,29,0,779.28
14,의료유사업,01_01_10_P,3670000,PHMB419993670022042400001,19990612,,2,휴업,2,휴업,,20220306,20220906,,042-825-0241,,,"대전광역시 유성구 봉명동 448번지 16호 주)뉴유성프라자4층,5층,6층","대전광역시 유성구 계룡로 72, 4,5,6층 401,501,601호 (봉명동, 뉴유성빌딩)",34178,굿모닝안마시술소,2.02204E+13,U,40:00.0,안마시술소,230337.582,317108.3556,안마시술소,2,0,0,0,0,29,0,802.06
15,의료유사업,01_01_10_P,5310000,PHMB419975310029042400001,19970404,,2,휴업,2,휴업,,20211227,20221130,,055-754-0055,,660903,경상남도 진주시 상평동 239번지 17호,경상남도 진주시 남강로 1071 (상평동),52814,동궁안마시술소,2.02112E+13,U,40:00.0,안마시술소,300976.1692,186079.3656,안마시술소,3,0,0,0,0,16,45,490
16,의료유사업,01_01_10_P,5670000,PHMB420105670062042400001,20100706,,2,휴업,2,휴업,,20220411,20221231,,055-261-2363,,641010,경상남도 창원시 상남동 15-4번지 보브스빌딩 7층,"경상남도 창원시 성산구 마디미서로 34 (상남동, 보브스빌딩7층)",51496,송안마시술소,2.02204E+13,U,40:00.0,안마시술소,353077.8352,192746.775,안마시술소,2,0,0,0,0,10,0,454
17,의료유사업,01_01_10_P,3930000,PHMB420053930154042400001,20051117,,2,휴업,2,휴업,,20220629,20221228,,031-403-0123,,425854,경기도 안산시단원구 초지동 727번지 7호 정우프라자301~306호,"경기도 안산시 단원구 광덕2로 50-15, 301~306호 (초지동, 정우프라자)",15445,핑크안마시술소,2.02206E+13,U,40:00.0,안마시술소,183606.0085,423038.2184,안마시술소,2,0,0,0,0,10,0,405.7
18,의료유사업,01_01_10_P,3860000,PHMB420023860049042400005,20021126,,2,휴업,2,휴업,,20220502,20220802,,032-321-3651,,420864,경기도 부천시 상동 545-7번지,경기도 부천시 소향로37번길 31-21 (상동),,썬안마시술소,2.02205E+13,U,40:00.0,안마시술소,177902,444760,안마시술소,2,0,0,0,0,11,88.04,520.36
19,의료유사업,01_01_10_P,3780000,PHMB420093780064042400001,20090402,,2,휴업,2,휴업,,20220602,20230601,,708-3691,,463050,경기도 성남시 분당구 서현동 245번지 2호 보람코아9층,"경기도 성남시 분당구 서현로210번길 1 (서현동, 보람코아 9층)",13591,온천안마시술소,2.02206E+13,U,40:00.0,안마시술소,211080.6084,431604.7592,안마시술소,2,0,0,0,0,12,0,441
20,의료유사업,01_01_10_P,3780000,PHMB420083780064042400002,20040601,,2,휴업,2,휴업,,20211130,20221130,,701-5488,,463070,"경기도 성남시분당구 야탑동 366-8 4층, 5층","경기도 성남시 분당구 야탑로105번길 9, 4,5층 (야탑동)",13506,나비안마시술소,2.02111E+13,U,40:00.0,안마시술소,211468,434301,안마시술소,2,0,0,0,0,14,0,379.66
21,의료유사업,01_01_10_P,3780000,PHMB420093780064042400002,20090518,,2,휴업,2,휴업,,20220513,20220830,,,,463070,경기도 성남시 분당구 야탑동 353번지 1호 영진다이비스상가 301호,"경기도 성남시 분당구 야탑로69번길 21 (야탑동, 영진다이비스상가 301호)",13497,낙원안마시술소,2.02205E+13,U,40:00.0,안마시술소,211116.0173,434396.3732,안마시술소,2,0,0,0,0,21,0,811
