"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","의료유사업종별명","직원수","자격증소유자수","보조직원수","시설관리자수","기타직원수","병상수","욕실면적","총면적",
"1","의료유사업","01_01_10_P","4000000","PHMB420164000018042400001","20160902","","02","휴업","02","휴업","","20220221","20230220","","031-378-2205","","","","경기도 오산시 한신대길 125-1, 지하1층 (양산동)","18101","아픈데척척지압안마원","20220221171622","U","2022-02-23 02:40:00.0","안마원","202010.797587365","410413.676412894","안마원","1","0","0","0","0","0","0","52.2",
"2","의료유사업","01_01_10_P","3520000","PHMB420013520019042400001","20010512","","02","휴업","02","휴업","","20220117","20221017","","032-822-8785","","406120","인천광역시 연수구 청학동 498-10","인천광역시 연수구 용담로85번길 8-7 (청학동)","21926","연수안마시술소","20220117180945","U","2022-01-19 02:40:00.0","안마시술소","171232.510013581","435017.682855275","안마시술소","2","0","0","0","0","13","70.07","686.1",
"3","의료유사업","01_01_10_P","4000000","PHMB420014000018042400001","20011228","","02","휴업","02","휴업","","20220725","20220831","","031-377-7779","","447010","경기도 오산시 오산동 925번지 5호 월드타워 801,802,803,804호","경기도 오산시 성호대로 121 (오산동, 월드타워 801,802,803,804호)","18133","에스(S)안마시술소","20220726111811","U","2022-07-28 02:40:00.0","안마시술소","206578.368125284","405251.512269498","안마시술소","3","0","0","0","0","28","0","669.32",
"4","의료유사업","01_01_10_P","4000000","PHMB420094000018042400001","20091014","","02","휴업","02","휴업","","20220509","20220808","","031-378-4133","","","","경기도 오산시 성호대로 130, 801,802호 (원동, 중앙씨티월1)","18139","펄 안마시술소","20220506153416","U","2022-05-08 02:40:00.0","안마시술소","206663.103451455","405187.033582036","안마시술소","2","0","0","0","0","18","0","465.48",
"5","의료유사업","01_01_10_P","3090000","PHMB420193090033042400001","20191219","","02","휴업","02","휴업","","20220531","20221130","","02-931-9890","","","서울특별시 도봉구 창동 451번지 한신아파트","서울특별시 도봉구 덕릉로60바길 17, 한신아파트 (창동)","01474","한기쁨의 따뜻한 혜민원 안마원","20220523161315","U","2022-05-25 02:40:00.0","안마원","203553.361562007","459627.914055092","안마원","0","0","0","0","0","0","0","116.25",
"6","의료유사업","01_01_10_P","4800000","PHMB420114800026042400007","20111005","","02","휴업","02","휴업","","20210406","20220405","","","","530420","전라남도 목포시 옥암동 1035번지 19호 (4,5층)","전라남도 목포시 통일대로 79 (옥암동,(4,5층))","","캡틴안마시술소","20210406180432","U","2021-04-08 02:40:00.0","안마시술소","148012.289208","144836.462877","안마시술소","2","","","","","10","","414.38",
"7","의료유사업","01_01_10_P","4940000","PHMB420154940017042400001","20151026","","02","휴업","02","휴업","","20210409","20220408","","061-471-7942","","","전라남도 영암군 영암읍 역리 159번지 1호","전라남도 영암군 영암읍 중앙로 76-1","58416","기찬약손지압","20210409114552","U","2021-04-11 02:40:00.0","안마원","172439.494522","144947.551534","안마원","1","","","","","1","","32",
"8","의료유사업","01_01_10_P","6520000","PHMB420036520074042400001","20180704","","02","휴업","02","휴업","","20200110","20250109","","064-732-3312","","697841","제주특별자치도 서귀포시  412번지 1호","제주특별자치도 서귀포시 태평로439번길 18-5 (서귀동)","63595","명안마(지압)원","20191231102507","U","2020-01-02 02:40:00.0","안마원","159417.832351","-27583.5455457","안마원","0","","","","","","","30",
"9","의료유사업","01_01_10_P","3260000","PHMB420093260022042400001","20090731","","02","휴업","02","휴업","","20220114","20220630","","051-253-7083","","602091","부산광역시 서구 서대신동1가 15번지 3호","부산광역시 서구 구덕로265번길 1 (서대신동1가)","","대신안마원","20220114132153","U","2022-01-16 02:40:00.0","안마원","384053.260101019","180632.24100007","안마원","1","0","0","0","0","0","0","56",
"10","의료유사업","01_01_10_P","5020000","PHMB420145020055042400001","20140530","","02","휴업","02","휴업","","20200522","20221230","","","","790826","경상북도 포항시 남구 대잠동 946번지","경상북도 포항시 남구 새천년대로434번길 20 (대잠동)","37761","피쉬안마시술소","20210114132717","U","2021-01-16 02:40:00.0","안마시술소","411488.773122538","281769.916184288","안마시술소","2","","","","","32","","818.11",
"11","의료유사업","01_01_10_P","5710000","PHMB420185710109042400001","20180806","","02","휴업","02","휴업","","20201209","20221231","","","","","충청북도 청주시 청원구 내덕동 368번지 3호","충청북도 청주시 청원구 공항로 49-1, 2층 (내덕동)","28478","수지안마원","20201209171026","U","2020-12-11 02:40:00.0","안마원","243466.046232","351281.287272","안마원","","","","","","1","","80.56",
"12","의료유사업","01_01_10_P","4520000","PHMB420204520031042400001","20200714","","02","휴업","02","휴업","","20201220","20211231","","","","","충청남도 아산시 둔포면 석곡리 1713","충청남도 아산시 둔포면 중앙공원로 38, 5,6층","31406","숲안마시술소","20211104174559","U","2021-11-06 02:40:00.0","안마시술소","","","안마시술소","2","0","0","0","0","29","0","779.28",
"13","의료유사업","01_01_10_P","5310000","PHMB419975310029042400001","19970404","","02","휴업","02","휴업","","20211227","20221130","","055-754-0055","","660903","경상남도 진주시 상평동 239번지 17호","경상남도 진주시 남강로 1071 (상평동)","52814","동궁안마시술소","20211229174110","U","2021-12-31 02:40:00.0","안마시술소","300976.169244159","186079.365570599","안마시술소","3","0","0","0","0","16","45","490",
"14","의료유사업","01_01_10_P","5670000","PHMB420105670062042400001","20100706","","02","휴업","02","휴업","","20220411","20221231","","055-261-2363","","641010","경상남도 창원시 상남동 15-4번지 보브스빌딩 7층","경상남도 창원시 성산구 마디미서로 34 (상남동, 보브스빌딩7층)","51496","송안마시술소","20220419114401","U","2022-04-21 02:40:00.0","안마시술소","353077.835237063","192746.775031064","안마시술소","2","0","0","0","0","10","0","454",
"15","의료유사업","01_01_10_P","3860000","PHMB420023860049042400005","20021126","","02","휴업","02","휴업","","20220502","20220802","","032-321-3651","","420864","경기도 부천시 상동 545-7번지","경기도 부천시 소향로37번길 31-21 (상동)","","썬안마시술소","20220502165514","U","2022-05-04 02:40:00.0","안마시술소","177902","444760","안마시술소","2","0","0","0","0","11","88.04","520.36",
"16","의료유사업","01_01_10_P","3940000","PHMB420043940139042400001","20040326","","02","휴업","02","휴업","","20220729","20230728","","901-7237","","410382","경기도 고양시일산동구 장항동 778번지 2호 남정씨티프라자Ⅱ505,509,510호","경기도 고양시 일산동구 무궁화로 34 (장항동,남정씨티프라자Ⅱ505,509,510호)","","뉴필안마시술소","20220729164307","U","2022-07-31 02:40:00.0","안마시술소","179492.666132508","462272.008263397","안마시술소","3","0","0","0","0","23","1","592.99",
"17","의료유사업","01_01_10_P","3780000","PHMB420093780064042400001","20090402","","02","휴업","02","휴업","","20220602","20230601","","708-3691","","463050","경기도 성남시 분당구 서현동 245번지 2호 보람코아9층","경기도 성남시 분당구 서현로210번길 1 (서현동, 보람코아 9층)","13591","온천안마시술소","20220602153358","U","2022-06-04 02:40:00.0","안마시술소","211080.60836251","431604.759204645","안마시술소","2","0","0","0","0","12","0","441",
"18","의료유사업","01_01_10_P","3780000","PHMB420083780064042400002","20040601","","02","휴업","02","휴업","","20211130","20221130","","701-5488","","463070","경기도 성남시분당구 야탑동 366-8 4층, 5층","경기도 성남시 분당구 야탑로105번길 9, 4,5층 (야탑동)","13506","나비안마시술소","20211126155537","U","2021-11-28 02:40:00.0","안마시술소","211468","434301","안마시술소","2","0","0","0","0","14","0","379.66",
"19","의료유사업","01_01_10_P","3780000","PHMB420093780064042400002","20090518","","02","휴업","02","휴업","","20220513","20220830","","","","463070","경기도 성남시 분당구 야탑동 353번지 1호 영진다이비스상가 301호","경기도 성남시 분당구 야탑로69번길 21 (야탑동, 영진다이비스상가 301호)","13497","낙원안마시술소","20220513171023","U","2022-05-15 02:40:00.0","안마시술소","211116.017268435","434396.373197704","안마시술소","2","0","0","0","0","21","0","811",
"20","의료유사업","01_01_10_P","3220000","PHMB420073220033042400001","20070228","","02","휴업","02","휴업","","20211206","20221231","","02-569-3225","","","서울특별시 강남구 삼성동 143번지 16호 5,6,7층","서울특별시 강남구 테헤란로77길 11-20, 5,6,7층 (삼성동)","06159","수안보안마시술소","20220616143448","U","2022-06-18 02:40:00.0","안마시술소","204602.069126354","444958.731925491","안마시술소","7","0","0","0","0","17","16.98","761.4",
"21","의료유사업","01_01_10_P","4390000","PHMB420014390029042400001","20010804","","02","휴업","02","휴업","","20101228","20110327","","043-846-5536","","380943","충청북도 충주시 수안보면 온천리 193번지 7호","충청북도 충주시 수안보면 온천천변길 25","380943","수안보온천안마시술소","20120102173426","I","2018-08-31 23:59:59.0","안마시술소","288088.176834","372029.560861","안마시술소","3","","","","","1","","214.12",
"22","의료유사업","01_01_10_P","5710000","PHMB420094360069042400005","20091218","","02","휴업","02","휴업","","20220629","20220831","","043-294-5233","","360101","충청북도 청주시 상당구 용암1동 1779번지 2층","충청북도 청주시 상당구 무농정로 29  (용암동,2층)","","약손안마원","20220629165650","U","2022-07-01 02:40:00.0","안마원","245223.132511","345129.136314","안마원","1","0","0","0","0","1","0","46.39",
"23","의료유사업","01_01_10_P","4010000","PHMB420084010027042400001","20080303","","02","휴업","02","휴업","","20210909","20220908","","031-434-5432","","429864","경기도 시흥시 정왕3동 1860번지 5호  3층","경기도 시흥시 옥구상가3길 7-5, 3층 (정왕동)","15040","허브안마시술소","20210909194550","U","2021-09-11 02:40:00.0","안마시술소","175481.899179082","427899.921308164","안마시술소","2","0","0","0","0","18","0","234.1",
"24","의료유사업","01_01_10_P","3190000","PHMB420123190033042400003","20120608","","02","휴업","02","휴업","","20210619","20211231","","070-8728-7579","","156034","서울특별시 동작구 상도4동 347번지 4호","서울특별시 동작구 상도로 118 (상도동)","06959","튼튼안마원","20210709115108","U","2021-07-11 02:40:00.0","안마원","194028.592039336","444326.722626849","안마원","1","0","0","0","0","0","0","35.78",
"25","의료유사업","01_01_10_P","6510000","PHMB420186510096042400005","20181220","","02","휴업","02","휴업","","20210524","20220523","","","","","제주특별자치도 제주시 오라삼동 2997번지","제주특별자치도 제주시 연오로 59, 지하1층 106호 (오라삼동)","63145","이룸지압원","20210524145352","U","2021-05-26 02:40:00.0","안마원","153642.847544","-827.965762483","안마원","1","","","","","1","","32.62",
"26","의료유사업","01_01_10_P","5310000","PHMB420215310029042400001","20210104","","02","휴업","02","휴업","","20211221","20221231","","","","","경상남도 진주시 봉곡동 474-37 아르피오빌라","경상남도 진주시 북장대로63번길 21, 아르피오빌라 201호 (봉곡동)","52664","비봉안마원","20211223112129","U","2021-12-25 02:40:00.0","안마원","297471.101651816","188946.186944199","안마원","1","0","0","0","0","0","0","71",
"27","의료유사업","01_01_10_P","3620000","PHMB420043620020042400001","20040331","","03","폐업","03","폐업","20050901","","","","062-525-5238","","500881","광주광역시 북구 풍향동 603번지 16호","광주광역시 북구 필문대로 7-1 (풍향동)","","동서울안마시술소","20100309100415","I","2018-08-31 23:59:59.0","안마시술소","192697.493229","185069.269117","안마시술소","2","","","","","10","","800",
"28","의료유사업","01_01_10_P","3620000","PHMB420013620020042400001","20010614","","03","폐업","03","폐업","20021005","","","","062-261-8273","","500809","광주광역시 북구 두암1동 881번지 12호 2,3층","광주광역시 북구 서방로107번길 39 (두암동,2,3층)","","빛고을안마시술소","20100309102319","I","2018-08-31 23:59:59.0","안마시술소","193099.889116","185900.47715","안마시술소","2","","","","","10","","800",
"29","의료유사업","01_01_10_P","3620000","PHMB420023620020042400002","20021115","","03","폐업","03","폐업","20021226","","","","062-522-5215","","500030","광주광역시 북구 누문동 197번지","광주광역시 북구 천변우로271번길 9-5 (누문동)","","양동안마시술소","20100309102655","I","2018-08-31 23:59:59.0","안마시술소","191199.607476","183940.844062","안마시술소","2","","","","","10","","800",
"30","의료유사업","01_01_10_P","3620000","PHMB420023620020042400003","20021207","","03","폐업","03","폐업","20050930","","","","062-511-6686","","500862","광주광역시 북구 유동 113번지 9호","광주광역시 북구 금재로9번길 7 (유동)","","왕안마시술소","20100309103531","I","2018-08-31 23:59:59.0","안마시술소","191249.918991","184368.015277","안마시술소","2","","","","","10","","800",
"31","의료유사업","01_01_10_P","3620000","PHMB419993620020042400001","19990419","","03","폐업","03","폐업","20010720","","","","062-528-1615","","500830","광주광역시 북구 신안동 240번지 28호 4층","광주광역시 북구 서암대로 190 (신안동,4층)","","다모아안마시술소","20100309103838","I","2018-08-31 23:59:59.0","안마시술소","191252.318626","185459.5082","안마시술소","2","","","","","10","","800",
"32","의료유사업","01_01_10_P","3620000","PHMB420093620020042400004","20090710","","03","폐업","03","폐업","20100628","","","","062-512-7411","","500854","광주광역시 북구 운암2동 97번지 7호 2층,3층,4층,5층","광주광역시 북구 북문대로 11 (운암동,2층,3층,4층,5층)","","운암안마시술소","20100628152518","I","2018-08-31 23:59:59.0","안마시술소","189320.652303","186036.387027","안마시술소","5","","","","","23","","625.68",
