사업장명,도로명전체주소,소재지전화
한국안마센터,"경상남도 고성군 고성읍 중앙로25번길 76, 2층",055-674-7789
사계절 건강 지압원,경상남도 사천시 벌리2길 7 (벌리동),
의령지압안마원,"경상남도 의령군 의령읍 의병로17길 3-1, 1층 102호",
참사랑안마원,"충청남도 태안군 태안읍 중앙로 31-2, 2층",674-1577
온천안마시술소,충청남도 예산군 덕산면 덕산온천로 324-7,041-338-1682
예산건강 안마원,충청남도 예산군 예산읍 주교로 73,041-335-1230
길안마원,충청북도 옥천군 옥천읍 금장로 53-10,
건강중앙안마원,"충청북도 제천시 풍양로 108 (중앙로1가, 중앙시장상가)",043-646-6258
라파엘안마원,충청북도 음성군 음성읍 중앙로124번길 16,872-3500
약손지압안마원,충청북도 음성군 음성읍 설성로 124,873-7579
한성웰빙안마원,"충청북도 제천시 의림대로33길 70, 덕일한마음아파트 상가9동 1층 107호 (청전동)",043-644-7525
훈이안마원,충청북도 제천시 용두천로 154 (교동),043-653-3748
남대현안마원,충청북도 제천시 숭문로14길 4-1 (의림동),642-7711
제천보건안마센터,충청북도 제천시 의림대로 182 (중앙로2가),043-651-8889
신의한손안마원,"서울특별시 은평구 통일로 803-1, 2층 (대조동)",356-7445
청솔안마원,"서울특별시 은평구 은평로13길 5-14, 4층 402호 (응암동, 삼부하이빌)",02-546-8557
오션안마시술소,"서울특별시 은평구 통일로 830, 지하1층 (불광동, 파레제페빌딩)",02-382-5111
약손플러스건강안마원,서울특별시 용산구 대사관로31길 7-10 (한남동),02-6389-7575
세명안마원,"서울특별시 용산구 후암로 33, 지하1층 (후암동)",02-3789-0330
도원안마시술소,서울특별시 은평구 증산로 465 (신사동),02-3151-0777
양천안마지압원,"서울특별시 양천구 중앙로45길 8-30 (신정동, 2층)",02-2696-8280
건강안마원,"서울특별시 양천구 월정로 33 (신월동, 지층)",2690-3707
담손정통지압안마원,"서울특별시 양천구 목동중앙북로 38, 지하114호 (목동, 목동롯데캐슬위너상가동)",
정지압안마원,서울특별시 중구 동호로12길 60 (신당동),2233-2421
북창지압안마원,"서울특별시 중구 남대문로1길 26-3, 3층 (북창동)",
건강플러스지압안마원,"서울특별시 영등포구 당산로 122, 121호 (당산동3가, 우미빌딩)",
서울보건안마원,"서울특별시 영등포구 당산로 214, 지하1층 (당산동5가, 당산삼성래미안 상가)",2069-1114
드라마안마시술소,"서울특별시 영등포구 여의대방로65길 12, 4,5층 (여의도동)",02-761-1566
드림안마시술소,"서울특별시 영등포구 경인로 832, 2층 (영등포동)",2633-2217
낙원지압원,"서울특별시 중구 퇴계로16길 35-21, 1층 (남산동1가)",753-3412
전통안마지압원,"서울특별시 중구 퇴계로88길 61, 3층 (신당동)",2238-8085
스타안마시술소,"서울특별시 양천구 신목로 96, 1,2,3,4층 (목동)",02-2643-4546
약손365안마원,"서울특별시 양천구 목동중앙북로7길 13, 3층 (목동)",2655-2200
정주안마원,서울특별시 양천구 오목로24길 17-1 (신정동),2608-9032
새아침안마원,서울특별시 양천구 신월로 309-1 (신정동),2695-6666
라파안마원,"서울특별시 양천구 중앙로 237, 5층 507호 (신정동)",2647-7975
약수안마원,"서울특별시 중구 동호로10길 30, 3층 305호 (신당동, 약수하이츠상가동)",02-2233-3040
정통안마원,"서울특별시 양천구 오목로 232, 3층 (신정동)",2558-6556
안성지압안마원,"경기도 안성시 장기로 118, 102호 (낙원동)",031-8057-2103
금왕지압안마원,"충청북도 음성군 금왕읍 금석로 53-2, 2층",043-878-0611
플러스지압안마원,"경기도 부천시 상동로 84, 영플러스 206호 (상동)",032-225-7587
새봄 안마원,"강원도 원주시 예술관길 25, 2층 202호 (명륜동, 명륜2단지아파트)",
맑은손안마원,"서울특별시 마포구 양화로3길 37, 2층 (합정동)",02-336-8753
더 바디 테라피,"울산광역시 북구 명촌5길 5-3, JH빌딩 2층 (진장동)",289-5111
홀리스틱건강지압원,"광주광역시 광산구 장신로147번길 6, 수완제일프라자 3층 302호 (수완동)",062-954-2250
기장지압안마원,"부산광역시 기장군 기장읍 대청로22번길 19, 1층",517233631
몸사랑경락안마원,"경상북도 구미시 상사서로 223, 1층 (사곡동)",054-463-8259
참편한안마원,강원도 춘천시 충혼길44번길 14(온의동),255-7175
생활안마원,"세종특별자치시 조치원읍 새내로 88, 3층",044-866-5480
나은힐링안마원,"경기도 용인시 기흥구 죽전로 29, 포레스트프라자 7층 (보정동)",
광안건강안마원,"부산광역시 수영구 광안로7번길 8, 3층 (광안동)",051-728-1844
온누리안마원,강원도 원주시 관설안길 26 (관설동),
드림안마원,"강원도 원주시 원일로 19, 1층 (원동)",033-765-6061
약손안마원,"경기도 여주시 청심로 106, 1층 (하동)",031-882-0975
여주경락지압안마원,경기도 여주시 청심로 116-1 (하동),318850177
클린안마원,"전라남도 무안군 무안읍 무안중앙로 13, 현대사진관 2층",
구구팔팔안마지압원,"광주광역시 동구 중앙로196번길 19, 4층 (궁동)",062-222-9898
강화안마원,"인천광역시 강화군 강화읍 중앙로 43, 202호",
가고파안마원,경상북도 경주시 태종로699번길 20-1 (노서동),
예손지압안마원,"서울특별시 양천구 월정로 22, 지층 (신월동)",02-6339-8275
허준안마원,"대구광역시 중구 중앙대로79길 13, 평강빌딩동 201호 (남일동, 근린생활시설)",053-254-7579
약손지압안마원,"대구광역시 중구 태평로 177 (태평로1가, 태평라이프아파트)",534257695
영광안마원,대구광역시 중구 중앙대로79길 13 (남일동),053-253-1889
제일안마원,"대구광역시 동구 율하동로23길 38, 1층 (율하동)",053-290-0116
참좋은안마원,"대구광역시 동구 동촌로 245, 5층 (방촌동)",053-262-9378
서울안마시술소,"대구광역시 북구 동천로 128-7, 4층 (동천동)",053-321-0272
시원안마시술소,대구광역시 북구 동천로 128-8 (동천동),313-0216
휴앤케어안마원,"대구광역시 북구 매전로 80, 2층 (태전동)",311-2002
장미안마시술소,"경상북도 안동시 경동로 723 (법흥동,227-14)",859-2227
가고파안마원,경상북도 안동시 경동로 715 (법흥동),859-8855
수궁안마시술소,"인천광역시 서구 완정로117번길 41 (왕길동, 3층)",563-9096
궁안마시술소,인천광역시 서구 탁옥로 31 (심곡동),032-568-8575
국가명인지압안마원,"인천광역시 서구 심곡로 81, 201호 (심곡동, 국제빌딩)",032-561-7123
석남약손안마원,"인천광역시 서구 가정로 301, 2층 (석남동)",032-577-7582
김영수지압안마원,인천광역시 서구 서달로 14-8 (석남동),032-431-7358
참존안마원,"인천광역시 서구 청라에메랄드로102번길 8-22, 403호 (청라동, 미라클프라자)",032-566-5560
아나파전통안마원,"인천광역시 남동구 백범로 376 (간석동, 도시타워)",446-1269
새아침안마원,"인천광역시 남동구 장승남로 36 (만수동, (305호))",464-7475
남동구100세안마원,"인천광역시 남동구 호구포로810번길 44, 2층 202호 (구월동)",032-462-2669
간석힐링안마원,"인천광역시 남동구 경인로644번길 69, 2층 (간석동)",431-7533
굿안마원,"인천광역시 남동구 만수로 21, 2층 (만수동)",032-289-3535
참조은지압안마원,"인천광역시 부평구 경원대로 1264, 4층 (부평동)",032-434-8484
해피안마원,인천광역시 부평구 원길로 34 (청천동),032-503-0191
국민건강안마원,"인천광역시 부평구 수변로 13, 3층 (부개동)",032-208-8890
리앤드안마원,"인천광역시 부평구 경원대로1367번길 18, 2층 (부평동)",032-330-4400
부평약손안마원,"인천광역시 부평구 부평대로167번길 33, 2층 201호 (부평동)",032-511-1600
하와이안마시술소,"인천광역시 남동구 성말로 9 (구월동, 이노프라자 403호)",422-1380
딸기안마시술소,"인천광역시 남동구 인하로 497-23 (구월동, 지상5층)",032-421-1307
수안마원,"인천광역시 남동구 논고개로 120 (논현동, 논현프라자 502호)",432-9823
펄안마시술소,전라북도 군산시 부곡3길 22 (나운동),461-1444
통증잡는백경안마원,"전라북도 군산시 월명로 233, 204호 (수송동, 효원월드타워)",063-468-1444
큐안마시술소,전라북도 군산시 하나운안1길 8-3 (나운동),063-467-8113
행복안마원,전라북도 군산시 팔마로 77 (서흥남동),
제일경락안마원,"전라북도 군산시 대학로 342, 동아26빌딩 8층 809호,810호,811호,812호 (나운동)",063-466-9980
건강회생안마원,"전라북도 군산시 나운로 4, 군산현대코아백화점 213,214호 (문화동)",063-443-1331
