지역,사업장명,주소,전화번호,링크,x,y,NAVER_addr
서울,가타리나안마원,서울특별시 종로구 필운대로 15 (필운동),02-736-5965,/FindShop/Detail?shopId=02-0058,126.9692473,37.5775924,서울특별시 종로구 필운대로 15
서울,강남건강안마센터,"서울특별시 강남구 개포로 615 (개포동)석탑프라자 6층 603,604호",02-451-6010,/FindShop/Detail?shopId=02-0043,127.0756013,37.4926645,서울특별시 강남구 개포로 615 석탑프라자
서울,강서지압안마원,서울 강서구 강서로 385(마곡동 794-1)우성에스비타워 1004호,02-2662-7722,/FindShop/Detail?shopId=02-0004,126.838266,37.5601067,서울특별시 강서구 강서로 385 우성에스비타워
서울,강재만안마원,서울시 강북구 한천로139길 10 일심빌딩 302호,02-906-9990,/FindShop/Detail?shopId=02-0165,127.0261223,37.6398014,서울특별시 강북구 한천로139길 10 일심빌딩
서울,강지압안마원,서울특별시 종로구 진흥로 432 (구기동)4층 403호,02-379-3705,/FindShop/Detail?shopId=02-0059,126.9566038,37.6082018,서울특별시 종로구 진흥로 432 요진오피스텔쉐레이
서울,강흥수안마원,서울시 강서구 마곡서로 152 (마곡동) A동 304호,02-852-5588,/FindShop/Detail?shopId=02-0060,126.8259797,37.5676701,서울특별시 강서구 마곡서로 152 두산더랜드타워
서울,건강지압안마원,서울시 동대문구 보문로 18(신설동)(신설동 81-31),02-953-5050,/FindShop/Detail?shopId=02-0020,127.0234427,37.57723,서울특별시 동대문구 보문로 18
서울,건강클리닉안마원,서울특별시 성북구 한천로78길 36 (석관동)(석관동128-4) 2층,02-969-0511,/FindShop/Detail?shopId=02-0033,127.0643177,37.6121007,서울특별시 성북구 한천로78길 36
서울,건강플러스지압안마원,서울특별시 영등포구 당산로 122(당산동3가 270) 우미빌딩 121호,02-584-5456,/FindShop/Detail?shopId=02-0061,126.8969496,37.5254126,서울특별시 영등포구 당산로 122 우미빌딩
서울,건강한지압안마원,서울시 송파구 백제고분로48길 4 3층(방이동 110-6),02-371-0816,/FindShop/Detail?shopId=02-0155,127.1136646,37.5116736,서울특별시 송파구 백제고분로48길 4
서울,금호지압안마원,서울시 성동구 장터길 27(금호동3가) 2층,02-2272-8770,/FindShop/Detail?shopId=02-0161,127.0188994,37.5484295,서울특별시 성동구 장터길 27
서울,김해숙힐링안마원,서울특별시 관악구 남부순환로 1526(신림동) 2층,02-864-7578,/FindShop/Detail?shopId=02-0064,126.9202393,37.4826184,서울특별시 관악구 남부순환로 1526 풍진빌딩
서울,나클린안마원,서울특별시 도봉구 마들로 624 (방학동)206호,02-995-4000,/FindShop/Detail?shopId=02-0065,127.0466493,37.6657881,서울특별시 도봉구 마들로 624 대상타운현대아파트
서울,남산안마원,서울특별시 중구 퇴계로16길 35-21 (남산동1가) 1층,02-318-7582,/FindShop/Detail?shopId=02-0042,126.9841376,37.5589021,서울특별시 중구 퇴계로16길 35-21
서울,남양안마원,서울특별시 도봉구 노해로41길 10 (쌍문동),02-3394-7001,/FindShop/Detail?shopId=02-0110,127.0267612,37.6494319,서울특별시 도봉구 노해로41길 10
서울,늘푸른안마원,서울특별시 동대문구 망우로21가길 4 (휘경동) 2층 (휘경동) 2층,02-6080-8275,/FindShop/Detail?shopId=02-0160,127.0624868,37.5906525,서울특별시 동대문구 망우로21가길 4
서울,늘함안마원,서울시 송파구 오금로 13길 22 301호,02-424-3313,/FindShop/Detail?shopId=02-0159,127.1101464,37.5137203,서울특별시 송파구 오금로13길 22
서울,닥터수,서울특별시 종로구 대학로12길 69 (동숭동) 4층,02-743-2333,/FindShop/Detail?shopId=02-0175,127.0039781,37.581013,서울특별시 종로구 대학로12길 69 태원빌딩
서울,대성안마원,서울특별시 강북구 인수봉로56길 9-2 (수유동) 1층,010-2016-7575,/FindShop/Detail?shopId=02-0179,127.0136449,37.6367278,서울특별시 강북구 인수봉로56길 9-2
서울,더나은안마원,"서울특별시 도봉구 방학동 652-20, 201호",02-954-1030,/FindShop/Detail?shopId=02-0186,127.0427003,37.669798,서울특별시 도봉구 도봉로153길 13
서울,도봉안마원,서울특별시 도봉구 노해로60길 104 (쌍문동 100-26) 2층,"010-6263-6360, 02-900-6889",/FindShop/Detail?shopId=02-0070,127.0325617,37.6470049,서울특별시 도봉구 노해로60길 104
서울,도암안마원,"서울특별시 서초구 방배로13길 18 (방배동, 방배아크로타워) 213-214호",02-583-7553,/FindShop/Detail?shopId=02-0071,126.9953391,37.4831047,서울특별시 서초구 방배로13길 18 방배아크로타워
서울,도원안마원,서울특별시 관악구 남현3길 69 (남현동)(남현동 1062-20) 파크빌오피스텔 102호,02-586-3426,/FindShop/Detail?shopId=02-0072,126.9802106,37.4754087,서울특별시 관악구 남현3길 69 파크빌오피스텔
서울,동일지압안마원,서울특별시 동작구 동작대로17길 11 (사당동)(사당동 1009-25),02-585-0238,/FindShop/Detail?shopId=02-0073,126.9804739,37.4827173,서울특별시 동작구 동작대로17길 11 사당동근생주택
서울,라파안마원,서울특별시 양천구 중앙로 237 (신정동 1182-11) 507호,"010-5298-6111, 02-2647-7975",/FindShop/Detail?shopId=02-0075,126.8536541,37.5177474,서울특별시 양천구 중앙로 237
